Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Motor vehicle parts manufacturing [3363],"8,811"
Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Aerospace product and parts manufacturing [3364],"7,036"
Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Railroad rolling stock manufacturing [3365],613
Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Ship and boat building [3366],620
Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Other transportation equipment manufacturing [3369],"1,449"
Goods ,Manufacturing,Durable manufacturing industries,"Furniture and related product manufacturing	",Household and institutional furniture and kitchen cabinet manufacturing [3371],"2,733"
Goods ,Manufacturing,Durable manufacturing industries,"Furniture and related product manufacturing	",Office furniture (including fixtures) manufacturing [3372],"1,518"
Goods ,Manufacturing,Durable manufacturing industries,"Furniture and related product manufacturing	",Other furniture-related product manufacturing [3379],393
Goods ,Manufacturing,Durable manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies manufacturing [3391],"1,481"
Goods ,Manufacturing,Durable manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing [3399],"2,357"
Services,Trade,Wholesale trade,Farm product wholesaler-distributors [411],"1,788",
Services,Trade,Wholesale trade,Petroleum product wholesaler-distributors [412],"5,056",
Services,Trade,Wholesale trade,"Food, beverage and tobacco wholesaler-distributors [413]","11,799",
Services,Trade,Wholesale trade,Personal and household goods wholesaler-distributors [414],"15,035",
Services,Trade,Wholesale trade,Motor vehicle and parts wholesaler-distributors [415],"8,457",
Services,Trade,Wholesale trade,Building material and supplies wholesaler-distributors [416],"16,508",
Services,"Information and communication technology, services",Wholesale trade,"Machinery, equipment and supplies wholesaler-distributors [417]","30,083",
Services,Trade,Wholesale trade,Miscellaneous wholesaler-distributors [418],"13,615",
Services,Trade,Wholesale trade,"Wholesale electronic markets, and agents and brokers [419]","2,781",
Services,Trade,Retail Trade,Motor vehicle and parts dealers [441],"17,724",
Services,Trade,Retail Trade,Furniture and home furnishings stores [442],"4,337",
Services,Trade,Retail Trade,Electronics and appliance stores [443],"5,187",
Services,Trade,Retail Trade,Building material and garden equipment and supplies dealers [444],"7,517",
Services,Trade,Retail Trade,Food and beverage stores [445],"16,852",
Services,Trade,Retail Trade,Health and personal care stores [446],"10,665",
Services,Trade,Retail Trade,Gasoline stations [447],"6,085",
Services,Trade,Retail Trade,Clothing and clothing accessories stores [448],"10,559",
Services,Trade,Retail Trade,"Sporting goods, hobby, book and music stores [451]","3,289",
Services,Trade,Retail Trade,General merchandise stores [452],"10,043",
Services,Trade,Retail Trade,Miscellaneous store retailers [453],"3,788",
Services,Trade,Retail Trade,Non-store retailers [454],"2,936",
Services,Transportation and warehousing,Transportation and warehousing,Air transportation [481],"10,457",
Services,Transportation and warehousing,Transportation and warehousing,Rail transportation [482],"7,606",
Services,Transportation and warehousing,Transportation and warehousing,Water transportation [483],"1,602",
Services,Transportation and warehousing,Transportation and warehousing,Truck transportation [484],"23,110",
Services,Transportation and warehousing,Transportation and warehousing,Urban transit systems [4851],"4,428",
