,,,,,"Gross domestic product (GDP) at basic prices, by industry, monthly, industry detail (x 1,000,000) 1 2",,,,,,
,,,,,Monthly,,,,,,
,,,,,Table: 36-10-0434-04 (formerly CANSIM 379-0031),,,,,,
,,,,,Geography: Canada,,,,,,
,,,,,,,,,,,
,,,,,,Seasonally adjusted at annual rates,,,,,
,,,,,,Chained (2007) dollars,,,,,
,,,,,,Canada (map),,,,,
,,,,,North American Industry Classification System (NAICS),Jan-18,Feb-18,Mar-18,Apr-18,May-18,
,,,,,,Dollars,,,,,
,,,,,Amusement and recreation industries [713A] 3,"5,171","5,177","5,178","5,162","5,122",
,,,Accommodation and food services,,Accommodation services [721],"11,329","11,336","11,387","11,504","11,605",
,,,,,Food services and drinking places [722],"26,616","26,611","26,697","26,406","26,643",
,,,Other services (except public administration),,Repair and maintenance [811],"13,250","13,285","13,347","13,433","13,525",
,,,,,Personal and laundry services [812],"7,218","7,169","7,162","7,187","7,207",
,,,,,"Religious, grant-making, civic, and professional and similar organizations [813]","10,187","10,149","10,130","10,118","10,134",
,,,,,Private households [814],"2,550","2,550","2,548","2,549","2,549",
,,Public sector,Public administration,,Defence services [9111],"10,475","10,540","10,604","10,623","10,632",
,,,,,Federal government public administration (except defence) [911A] 3,"30,132","30,162","30,222","30,313","30,341",
,,,,,Provincial and territorial public administration [912],"28,929","28,987","29,017","29,043","29,102",
,,,,,"Local, municipal and regional public administration [913]","36,196","36,089","36,052","35,943","35,835",
,,,,,Aboriginal public administration [914],"3,486","3,486","3,502","3,474","3,502",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Footnotes:,,,,,,
,,,,,1,Aggregates are not always equal to the sum of their components.,,,,,
,,,,,2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006.",,,,,
,,,,,3,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program 1301 - Gross domestic product by Industry - National (Monthly).",,,,,
,,,,,,,,,,,
,,,,,"How to cite: Statistics Canada. Table 36-10-0434-04 Gross domestic product (GDP) at basic prices, by industry, monthly, industry detail (x 1,000,000)",,,,,,
,,,,,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043404,,,,,,
